2016-08-18_17:46:10.824 INFO  171570725 246309875 
2016-08-18_17:46:10.925 INFO  171571350 246310625 
2016-08-18_17:46:11.119 INFO  171572575 246312475 
2016-08-18_17:46:11.221 INFO  171573450 246313375 
2016-08-18_17:46:11.323 INFO  171574300 246314350 
2016-08-18_17:46:11.516 INFO  171575625 246316250 
2016-08-18_17:46:11.616 INFO  171576550 246317175 
2016-08-18_17:46:11.719 INFO  171577450 246318200 
2016-08-18_17:46:11.940 INFO  171578950 246320375 
2016-08-18_17:46:12.042 INFO  171579875 246321350 
2016-08-18_17:46:12.330 INFO  171582075 246324200 
2016-08-18_17:46:12.432 INFO  171582975 246325175 
2016-08-18_17:46:12.564 INFO  171584025 246326475 
2016-08-18_17:46:12.814 INFO  171585800 246328975 
2016-08-18_17:46:12.914 INFO  171586675 246329925 
2016-08-18_17:46:13.028 INFO  171587550 246331000 
2016-08-18_17:46:13.267 INFO  171589250 246333425 
2016-08-18_17:46:13.369 INFO  171590075 246334400 
2016-08-18_17:46:13.677 INFO  171592375 246337450 
2016-08-18_17:46:13.777 INFO  171593250 246338400 
2016-08-18_17:46:13.899 INFO  171594250 246339575 
2016-08-18_17:46:14.105 INFO  171595700 246341650 
2016-08-18_17:46:14.205 INFO  171596550 246342625 
2016-08-18_17:46:14.322 INFO  171597525 246343775 
2016-08-18_17:46:14.525 INFO  171598950 246345775 
2016-08-18_17:46:14.628 INFO  171599850 246346750 
2016-08-18_17:46:14.731 INFO  171600775 246347800 
2016-08-18_17:46:14.942 INFO  171602250 246349925 
2016-08-18_17:46:15.044 INFO  171603150 246350900 
2016-08-18_17:46:15.145 INFO  171604025 246351875 
2016-08-18_17:46:15.368 INFO  171605550 246354150 
2016-08-18_17:46:15.469 INFO  171606450 246355100 
2016-08-18_17:46:15.777 INFO  171608750 246358075 
2016-08-18_17:46:15.880 INFO  171609725 246359100 
2016-08-18_17:46:15.996 INFO  171610625 246360175 
2016-08-18_17:46:16.197 INFO  171611875 246362025 
2016-08-18_17:46:16.299 INFO  171612775 246362975 
2016-08-18_17:46:16.408 INFO  171613550 246364025 
2016-08-18_17:46:16.615 INFO  171614925 246366050 
2016-08-18_17:46:16.716 INFO  171615800 246367000 
2016-08-18_17:46:16.819 INFO  171616725 246368000 
2016-08-18_17:46:17.054 INFO  171618400 246370350 
2016-08-18_17:46:17.157 INFO  171619275 246371275 
2016-08-18_17:46:17.259 INFO  171620200 246372325 
2016-08-18_17:46:17.533 INFO  171622175 246375000 
2016-08-18_17:46:17.635 INFO  171623125 246376025 
